frame_path,label
extracted_frames/frame_0.jpg,cheating
extracted_frames/frame_1.jpg,not_cheating
extracted_frames/frame_2.jpg,not_cheating
extracted_frames/frame_3.jpg,cheating
extracted_frames/frame_4.jpg,cheating
extracted_frames/frame_5.jpg,cheating
extracted_frames/frame_6.jpg,cheating
extracted_frames/frame_7.jpg,not_cheating
extracted_frames/frame_8.jpg,not_cheating
extracted_frames/frame_9.jpg,cheating
extracted_frames/frame_10.jpg,not_cheating
extracted_frames/frame_11.jpg,not_cheating
extracted_frames/frame_12.jpg,cheating
extracted_frames/frame_13.jpg,not_cheating
extracted_frames/frame_14.jpg,not_cheating
extracted_frames/frame_15.jpg,not_cheating
extracted_frames/frame_16.jpg,not_cheating
extracted_frames/frame_17.jpg,cheating
extracted_frames/frame_18.jpg,not_cheating
extracted_frames/frame_19.jpg,not_cheating
extracted_frames/frame_20.jpg,not_cheating
extracted_frames/frame_21.jpg,not_cheating
extracted_frames/frame_22.jpg,not_cheating
extracted_frames/frame_23.jpg,cheating
extracted_frames/frame_24.jpg,cheating
extracted_frames/frame_25.jpg,cheating
extracted_frames/frame_26.jpg,not_cheating
extracted_frames/frame_27.jpg,not_cheating
extracted_frames/frame_28.jpg,not_cheating
extracted_frames/frame_29.jpg,not_cheating
extracted_frames/frame_30.jpg,cheating
extracted_frames/frame_31.jpg,cheating
extracted_frames/frame_32.jpg,cheating
extracted_frames/frame_33.jpg,not_cheating
extracted_frames/frame_34.jpg,not_cheating
extracted_frames/frame_35.jpg,cheating
extracted_frames/frame_36.jpg,cheating
extracted_frames/frame_37.jpg,cheating
extracted_frames/frame_38.jpg,cheating
extracted_frames/frame_39.jpg,cheating
extracted_frames/frame_40.jpg,cheating
extracted_frames/frame_41.jpg,cheating
extracted_frames/frame_42.jpg,not_cheating
extracted_frames/frame_43.jpg,cheating
extracted_frames/frame_44.jpg,cheating
extracted_frames/frame_45.jpg,not_cheating
extracted_frames/frame_46.jpg,not_cheating
extracted_frames/frame_47.jpg,not_cheating
extracted_frames/frame_48.jpg,not_cheating
extracted_frames/frame_49.jpg,not_cheating
extracted_frames/frame_50.jpg,not_cheating
extracted_frames/frame_51.jpg,cheating
extracted_frames/frame_52.jpg,not_cheating
extracted_frames/frame_53.jpg,not_cheating
extracted_frames/frame_54.jpg,cheating
extracted_frames/frame_55.jpg,not_cheating
extracted_frames/frame_56.jpg,cheating
extracted_frames/frame_57.jpg,cheating
extracted_frames/frame_58.jpg,cheating
extracted_frames/frame_59.jpg,cheating
